disorder_icd11_code,disorder_title,symptom_icd11_code,matched_form,section,cddr_page
6A20,Schizophrenia,MB23.6,disorganized behavior,Essential (required) features,162
6A20,Schizophrenia,MB23.D,mutism,Essential (required) features,162
6A20,Schizophrenia,MB24.2,anhedonia,Essential (required) features,162
6A20,Schizophrenia,MB24.61,affective flattening,Essential (required) features,162
6A20,Schizophrenia,MB24.F,restlessness,Essential (required) features,162
6A20,Schizophrenia,MB25.01,tangentiality,Essential (required) features,162
6A20,Schizophrenia,MB25.02,disorganized thinking,Essential (required) features,162
6A20,Schizophrenia,MB25.2,neologisms,Essential (required) features,162
6A20,Schizophrenia,MB26.05,grandiose delusion,Essential (required) features,162
6A20,Schizophrenia,MB26.07,persecutory delusion,Essential (required) features,162
6A20,Schizophrenia,MB28.B,negativism,Essential (required) features,162
6A20.Z,"Schizophrenia, episode unspecified",MB24.3,anxiety,Additional clinical features,166
6A21,Schizoaffective disorder,MB24.2,diminished interest or pleasure,Essential (required) features,170
6A21,Schizoaffective disorder,MB24.5,depressed mood,Essential (required) features,170
6A21.Z,"Schizoaffective disorder, unspecified",MB24.3,anxiety,Additional clinical features,174
6A22,Schizotypal disorder,MB23.Q,social withdrawal,Essential (required) features,177
6A22,Schizotypal disorder,MB24.60,constricted affect,Essential (required) features,177
6A22,Schizotypal disorder,MB25.02,formal thought disorder,Essential (required) features,177
6A22,Schizotypal disorder,MB25.03,incoherence,Essential (required) features,177
6A22,Schizotypal disorder,MB26.5,obsessions,Essential (required) features,177
6A22,Schizotypal disorder,MB26.9,suspiciousness,Essential (required) features,177
6A22,Schizotypal disorder,MB27.0,depersonalization,Essential (required) features,177
6A22,Schizotypal disorder,MB27.1,derealization,Essential (required) features,177
6A22,Schizotypal disorder,MB27.4,illusions,Essential (required) features,177
6A23,Acute and transient psychotic disorder,MB22.0,avolition,Essential (required) features,180
6A23,Acute and transient psychotic disorder,MB24.2,anhedonia,Essential (required) features,180
6A23,Acute and transient psychotic disorder,MB24.61,affective flattening,Essential (required) features,180
6A23,Acute and transient psychotic disorder,MB25.02,disorganized thinking,Essential (required) features,180
6A24,Delusional disorder,MB25.02,disorganized thinking,Essential (required) features,185
6A24,Delusional disorder,MB27.26,tactile hallucinations,Essential (required) features,185
6A2Y,Other specified primary psychotic disorder,MB25.02,formal thought disorder,Essential (required) features,189
6A2Z,"Schizophrenia or other primary psychotic disorder,",MB24.A,fear,(unsectioned),161
6A2Z,"Schizophrenia or other primary psychotic disorder,",MB26.6,overvalued ideas,(unsectioned),161
6A2Z,"Schizophrenia or other primary psychotic disorder,",MB27.27,visual hallucinations,(unsectioned),161
6A41,Catatonia induced by substances or medications,MB20.0,stupor,Essential (required) features,204
6A41,Catatonia induced by substances or medications,MB23.M,psychomotor agitation,Essential (required) features,204
6A62,Cyclothymic disorder,MB24.5,depressed mood,Essential (required) features,240
